answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,Money is only on res…,114
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,"To conclude: The health of patients is more important than any profit, fame, success, or pride of anyone else!",115
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic, People should force the ‘state' to change the current high sub-optimal set up of medical care and in this way to help MDs to provide better and more helping medical care.,116
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic, Bcare.,117
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,,118
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,We all are on the sa…,119
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,… (,120
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ji%C5%99%C3%AD-Kroc-2,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,view more),121
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America,"Obviously, I can speak only for myself.",122
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America, There are many aspects of medicine that lead to burn out.,123
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America," Among them, increasing overhead, decreasing autonomy, and electronica medical records.",124
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America," Insurance companies make all the decisions with no liability, mainly to withhold care, for patients that they will n…",125
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America,(,126
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Wolgin,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America,more),127
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Big question.,128
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, Not a simple answer .,129
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,,130
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Doctors to survive and not fail with suicide or depression or drug addiction must maintain better boundaries to keep home and love and family and hobbies and their spirituality intact.,131
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, They must seek counseling when they are failing.,132
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, That counseling must not be abusive and the culture of the “ tough it out and independence “ must die forever.,133
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, Doctors must be able to care for themselves.,134
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, Not simple.,135
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America, Depends on the nation and culture and economic system.,136
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,,137
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Don’t ever have sex with your patients,138
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Have and Keep a hobby for the rest of your life.,139
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,,140
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Mark-Johnson-2431,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Have a group of doctors that are available to confidentially help a failing doctor.,141
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,The truth is doctors…,142
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,"The video is not an extreme or parody, it’s the truth even if it is a little dated.",143
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia, Things have gotten worse.,144
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,,145
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,"Frankly if governments could sort their Medicare systems and extend funding for allied health programs, decriminalise and legalise cannabis safely, regulate opioids properly and reign in health insurance companies and the monopoly they have in certain sectors, thus instigating safe ratios for nurses to patients then maybe people would be better and healthier therefore reducing the strain on the system as a whole from birth to death.",146
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,,147
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,… (,148
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Ross-Pettit-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,view more),149
24,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Jay-Jokhan-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1200793377September 9, 2020 at 10:34:32 AM",Lives in The United Kingdom1963–present   ;2.1M content views57.2K this month   ;Active in 2 Spaces   ;Joined April 2019,England,There appears to be no way out of this present situation for them - The PHARMACEUTICAL industries and vaccines and medications have extended lives and created the false CARING INDUSTRIES for profit .,150
24,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Jay-Jokhan-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1200793377September 9, 2020 at 10:34:32 AM",Lives in The United Kingdom1963–present   ;2.1M content views57.2K this month   ;Active in 2 Spaces   ;Joined April 2019,England, I’m now 80 years old fit and healthy .,151
24,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Jay-Jokhan-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1200793377September 9, 2020 at 10:34:32 AM",Lives in The United Kingdom1963–present   ;2.1M content views57.2K this month   ;Active in 2 Spaces   ;Joined April 2019,England, But most are kept alive - I KNOW SO - with medications - in some cases of up to ten or more daily different meds !,152
24,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Jay-Jokhan-1,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1200793377September 9, 2020 at 10:34:32 AM",Lives in The United Kingdom1963–present   ;2.1M content views57.2K this month   ;Active in 2 Spaces   ;Joined April 2019,England,"! Yes, together will all those born with very strong defects and with the aged , we are no more than CASH COWS for them all !",153
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Albi-Qeli,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,,Mostly by setting hard limits on the time available to do certain tasks.,154
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",Albi-Qeli,https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,, In practice this means less work and less money.,155
