序号,问题,地址,用户名,回答时间,用户介绍,国籍信息,回答内容
40,"Is burnout real for those on the front line in terms of healthcare, like doctors, nurses, and aides? What do they typically do to resolve this reality?",https://www.quora.com/Is-burnout-real-for-those-on-the-front-line-in-terms-of-healthcare-like-doctors-nurses-and-aides-What-do-they-typically-do-to-resolve-this-reality,Georgia-Baba,"#1019800077March 18, 2020 at 5:42:46 AM","Former Retired MD   ;MD in Surgery, Oregon Health & Science UniversityGraduated 1991   ;Lives in California   ;997K content views34.5K this month   ;Active in 1 Space   ;Joined October 2019",America,"It can be very real and very devastating. This is part of the reason that people who think they want to go into medicine are encouraged to have interests outside of medicine. And are encouraged to take non medical courses in college. Having a hobby or outlet away from your profession really dies help keep you sane. And there are done very talented health professionals ( all fields, not just docs) out there. A nurse friend is a stained glass artist. Another à gourmet cook Others paint or play instruments etc."
41,"Is burnout real for those on the front line in terms of healthcare, like doctors, nurses, and aides? What do they typically do to resolve this reality?",https://www.quora.com/Is-burnout-real-for-those-on-the-front-line-in-terms-of-healthcare-like-doctors-nurses-and-aides-What-do-they-typically-do-to-resolve-this-reality,Mike-Traster,"#1019319954March 17, 2020 at 6:24:20 PM","Nurse at Seattle, WA   ;Studied NursingGraduated 1988   ;761.6K content views36.1K this month   ;Active in 1 Space   ;Joined May 2017",America,"It is very real.
Seeing too many suffer. Being overloaded with patients. Endless political b.s. contribute to burnout.
Talk with someone else who has been thusly FRIED.
DON'T HOLD IT IN
take some time off
Change floors
Change jobs
Find better ways to deal with things.
Don't ruminate.
Focus on the good that you do.
Laugh your ass off when the dns gets fired , the facility fails an inspection/ gets fined for violations."
42,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,Carol-Whelan,"#406009890April 16, 2018 at 4:25:26 AM",Former I Fly Planes   ;Studied at Yale University   ;2.2M content views22.8K this month   ;Top Writer2018   ;Joined July 2016,,"Your question not only assumes a universal problem, it also assumes a universal solution. I am not burned out, and I certainly should not have to see someone every week who assumes I am ill, and subject myself to their “cure.” I doubt any reputable therapist would even agree to do this job.
Patient safety, and outcomes, would be far better enhanced by fixing our problem of pricing and access. The most difficult thing I faced last week was a woman with an infection who has multiple drug allergies and had to be treated inpatient with IV Vancomycin because her insurance would not pay the $200 PER DOSE that oral Linezolid costs at Walmart (and they usually have the cheapest prices).
Fix the problem, not the symptom."
43,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,Lynn-Peters-2,"#406011928April 16, 2018 at 4:32:26 AM","Physician1997–present   ;B.A. in Psychology & Biology, Emory UniversityGraduated 1992   ;Lives in The Midwest2000–present   ;1.3M content views23.7K this month   ;Active in 1 Space   ;Joined January 2016",America（不确定）,"I am curious . . . by what criteria are these physicians a threat to patient safety? What precedent exists to require compulsory mental health care to all members of a profession in voluntary civilian employment? What, exactly, would be the therapeutic goals of these mandated weekly therapy sessions? A…
(more)"
44,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,Peter-Weseley,"#406010504April 16, 2018 at 4:27:35 AM",Vitreoretinal Surgeon1993–present   ;MD from Tulane University School of MedicineGraduated 1987   ;Lives in New York City   ;1.2M content views25.3K this month   ;Joined February 2017,America,"I think you may be on to something. We’re getting burned out by all the well intended mandates that have already been imposed on us. Certainly one more well intended mandate should alleviate one of the many unintended consequences of the last umpteen mandates. I think if we could just have a few more government mandates we could do away with all injuries due to medical errors—-because we wouldn’t have any time left to care for patients. It would be perfect. Everyone would pay more and get absolutely nothing in return. My stress would disappear. I could stay home and relax (until I got sick and couldn’t find anyone to take care of me) and the bureaucracy could declare victory, having conquered the scourges of physician burnout and death by medical error."
45,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,Michael-Keyes-14,"#406642773April 17, 2018 at 7:00:29 AM",Author: Mental Training for the Shotgun Sports1984–present   ;Studied at U.S. Army Command and General Staff CollegeGraduated 1993   ;4.9M content views113.3K this month   ;Top Writer2018   ;Active in 6 Spaces   ;Joined February 2017,,"Physician burnout is a significant problem not only for doctors but for their patients. Burnout is not depression but it can lead to it and is much more prevalent than either anxiety or depression in the physician population. Burnout is defined as lack of enthusiasm for work, a low sense of personal…
(more)"
46,"With the high rates of physician anxiety, depression and burnout as reported by 2018 Medscape survey, should physicians be asked to see a therapist weekly if only to ensure patient safety?",https://www.quora.com/With-the-high-rates-of-physician-anxiety-depression-and-burnout-as-reported-by-2018-Medscape-survey-should-physicians-be-asked-to-see-a-therapist-weekly-if-only-to-ensure-patient-safety,Wilk-Dedwylder,"#406090892April 16, 2018 at 9:07:31 AM",Former Retired emergency physician   ;MD from University of Mississippi Medical CenterGraduated 1978   ;Lives in West Tennessee   ;12.6M content views927.8K this month   ;Active in 3 Spaces   ;Joined December 2016,America,"That’s a great idea. Doctors are worn out by the innumerable mandates they have to put up with, so another is exactly what they need.
God save us from people trying to improve medicine from the outside!
You know what would decrease anxiety, depression and burnout? Leave us the hell alone and let us practice medicine."
47,What are the biggest problems facing the Medical Field?,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,Zisis-Kontogounis,"#1475035903May 10, 2021 at 10:45:29 PM","M.D Retired , logic fan, inventor.   ;Studied Medicine (college major) at Aristotle University School of Public Health   ;Lived in GREECE, ALEXANDER'S MACEDONIA, KOZANI2016–0   ;1.7M content views25.4K this month   ;Active in 4 Spaces   ;Knows English   ;Joined January 2017",Greece,"One is the fact that scientists are not eager to answer the life or death questios: 1. IS there human fecal dust* in hospital wards? 2. Is it or not a threat for the patients, from the point of view of the HA Infection, knowing that “A single gram of human feces—which is about the weight of a paper c…
(more)"
48,What are the biggest problems facing the Medical Field?,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,Fred-Davis-7,"#212762320January 27, 2017 at 3:23:30 AM","Solving B12 Mysteries, 45,000+ Hrs 1978 to present   ;Studied at Worsester Polytechnic Institute   ;Lived in Hiram College1968–1970   ;16.6M content views336.7K this month   ;Active in 1 Space   ;Joined June 2013",America,"A lot of doctors complain that they don’t have time to do good medicine with their patients. There is a lot of doctor burnout. Look at what this new anti-opioid war on pain patients is doing to doctors. Some are getting prosecuted. Some are dreading seeing patients commit suicide becasue of uncontro…
(more)"
49,What are the biggest problems facing the Medical Field?,https://www.quora.com/What-are-the-biggest-problems-facing-the-Medical-Field,Torry-Bavuso,"#262300163June 23, 2017 at 1:46:55 AM","Studied at Virginia Commonwealth University   ;Lives in Yorktown, Virginia   ;2M content views25.1K this month   ;Joined November 2015",America,"The current problems in medicine in the US can all be traced back to the issue of payment. In less developed cultures, medicine is usually available to cure/ treat most of the pressing problems, but the populace is too poor to afford it. If persons only seek medical care when in extremis, as in the e…
(more)"
50,What can hospitals do to help minimize physician burnout?,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,Vin-Taleder,"#506679680September 20, 2018 at 5:00:33 AM",Physician at Emergency/Critical Care   ;Lives in Pennsylvania   ;1.7M content views43.3K this month   ;Active in 1 Space   ;Joined September 2016,America,"There’s some creative team building and stress reduction stuff that’s out there but really I see a variation of two issues 1. Too many patients/hours - bad for patient care and bad for work life balance. Very good for billing which doesn’t care about either. 2. Way too much time doing busywork instead of cl…
(more)"
51,What can hospitals do to help minimize physician burnout?,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,Silvia-Calzada,"#506446400September 19, 2018 at 9:18:48 PM",6.2K content views188 this month   ;Joined May 2013   ;ES   ;Active in Spanish1 answer,,"Trainings and on job trainings for implementing new procedures, policies, equipement.
Daily breaks to get support from more senior colleagues.
having a coach to talk to.
having relaxation rooms in which they can do that just relax ( games , TV, manicure pedicure , massage chairs , good coffe)"
52,What can hospitals do to help minimize physician burnout?,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,Dr-Ravikumar-Modali,"#506450933September 19, 2018 at 9:27:26 PM","Certified Lifestyle Physician Coach, Telemedicine at Virtual Clinic2011–present   ;Board certification from California Institute of Integral StudiesGraduated 2017   ;Lives in Bengaluru, Karnataka, India   ;321.2K content views4.9K this month   ;Active in 2 Spaces   ;Knows Telugu   ;Joined September 2018",India,"The arrangements between hospitals and physicians as also surgeons (clinicians) are several. Most arrangements the clinicians subject themselves to excess work when actually fatigue is detrimental to both clinician and hospital. Firstly, clinicians must recognize the presence of fatigue, stress, burn…
(more)"
53,What can hospitals do to help minimize physician burnout?,https://www.quora.com/What-can-hospitals-do-to-help-minimize-physician-burnout,Sunil-Nihalani-6,"#512182630September 28, 2018 at 12:54:27 PM",Lived in newtonMassachusetts   ;211.7K content views4K this month   ;Active in 1 Space   ;Joined October 2017,America,"Physician burnout is an ongoing problem in hospitals. Burned-out doctors have a negative impact on the care a hospital provides. So it’s an issue that healthcare executives must address at their facilities. Here I want to share 5 keys to reducing physician burnout:
Acknowledge the problem so it can be addressed
Use effective leaders to engage physicians in the process
Develop and implement targeted changes
Create a sense of community for clinicians
Use rewards and incentives"
54,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Howard-Robinson-20,"#843657744September 19, 2019 at 10:46:21 PM","Author1973–present   ;Certified by the ABPS in Plastic Surgery Residency, University of Illinois at Chicago College of Medicine   ;Lives in Miami   ;1.2M content views17.6K this month   ;Joined April 2017",America,"Physicians are loosing the personal relationship with their patients. It is understandable tat group practices exist for coverage purposes, as physicians can answer to each other as goals are the same. Corporate practices have different goals that may conflict."
55,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Sickeconomics-com,"#843689945September 19, 2019 at 11:21:07 PM",Biotech Stocks Analyst/Commentator   ;Lives in South Florida   ;14.7K content views167 this month   ;Joined September 2019,America,"I can speak to this because I have been calling on medical practices for 15 years, and I have seen the slow elimination of the independent provider. The answer to the question really revolves around the word, “expectations.” The two happiest groups of docs are the older docs, who were already well est…
(more)"
56,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Mary-Fallon-23,"#1004406477February 29, 2020 at 7:40:38 AM","Former RN Neurosurgical at Cleveland Clinic   ;in Business (college major), Baldwin Wallace University   ;Lived in Cleveland, Ohio   ;180.7K content views6.6K this month   ;Active in 1 Space   ;Joined May 2017",America,"More patients and less time per patient. Less patient instruction. Eventually, patients will be punished for non compliance with meds, diabetic sugar testing or poor diet with increased premiums to reflect poor health choices."
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Mark-Johnson-2431,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,"One way that increasing corporatization of American Medicine is the word I heard many times by these” these”MBA Suit “people taking over my life. I was a Primary Care Internal Medicine doctor for 31 years and 23 years at Kaiser Permanente. a large HMO. I thought being a Kaiser an HMO Doc would protect me from some of the endless insurance company BS, but over the years there was more and more regulations and duties transferred to the Primary Care Provider.¶

Provider. These days no doctor is free from this. This is not just an HMO issue.¶

The word they used was…..” how to leverage the physician”. What this means is that we need to get the doctor to see more and more patients and be responsible for NP’s and PAs work and they will be paid the same but their panels must be increased and all kinds of regulations and unbelievable expectations to keep your panel’s BP , Weight, HgA1c, etc under certain goals and guilt GUILT you that THIS is expected for all patients.
So Primary Care is b…
… (view more)"
58,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Scott-Replogle-3,"#1004334823February 29, 2020 at 5:27:58 AM","Board Certified Plastic Surgeon at American Board of Plastic Surgery   ;MD from Rush Medical College of Rush UniversityGraduated 1977   ;Lives in Boulder, CO   ;457.8K content views10.3K this month   ;Joined May 2015",America,It’s not “increasing corporatization” that’s the problem. It’s increasing governmentization.
59,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Gina-Hughes-6,"#1004472690February 29, 2020 at 9:36:51 AM",Former Psychiatric Nurse Practitioner   ;1M content views53.8K this month   ;Joined August 2016,,"I’m certain you will get lots of great answers to thus question. In my experience, the “ corporatization” of medicine has meant treating patients as “customers” demanding “service” rather than appropriate, thoughtful care, and the pressure to “ produce” by seeing an ever increasing number of patients per day, resulting in less time to spend listening, being thorough with diagnosis, and having time to explain treatment options & do patient education. It’s hard not to feel burned out when you’re being expected to practice “assembly line” medicine."
60,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Kate-Sparks-4,"#1004564793February 29, 2020 at 12:25:16 PM",Former Healthcare Professional   ;122.9K content views3.4K this month   ;Joined July 2017,,"I grew up in a medical household. My father was a cardiologist, Mom a nurse and I also was a nurse. The difference between then and now is astounding and horrible. Like most things in America, there has been a degradation of the practise of medicine. The takeover of medicine by corporations has one…
(more)"
61,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Richard-Black-83,"#883453509October 26, 2019 at 2:29:26 PM","Ba in Literature, Duke UniversityGraduated 1974   ;Lives in Newark, DE   ;1.6M content views32.5K this month   ;Active in 1 Space   ;Joined March 2018",America,"If doctors decide to work insanely demanding hours to afford the monthly payments on their beach houses and BMWs, why is this suddenly blamed on “corporations""?"
62,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,Adrian-Dane-Kenny,"#883572602October 26, 2019 at 5:47:34 PM","Founder and owner at Jamway Research Firm and Consulting Company   ;M.D. in Medicine (MD), Harvard Medical SchoolGraduated 2007   ;Lives in Boston, MA   ;548.4K content views12.9K this month   ;Active in 2 Spaces   ;Joined September 2015",America,"it is a big part of physician burnout, but it also provides some reproducibility in outcomes.
adrian dane kenny, m.d.
jamway hospital"
63,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Chris-Hogan-46,"#896278626November 8, 2019 at 2:12:50 PM",Former Australian Primary Care Physician - Retired   ;817.5K content views14.6K this month   ;Joined June 2017,Australia,"Bless you for asking this question. One of the things that got me thru to retirement age was the support of my patients. I started in independent practice in 1979 & stayed in the one town for my whole career. It was busy & I did what I could. Then one day I had my first angina attack , recognised it…
(more)"
64,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Suresh-Raina-122,"#892332669November 4, 2019 at 7:48:52 PM","Former Surgeon Teachiing, Clinical and Management1979–2008   ;Studied SurgeryGraduated 1978   ;Lives in Aventura, FL2019–present   ;746.3K content views24.7K this month   ;Joined April 2018",America,"Just treat your doctor with kindness. Be patient with with him/her and realise that he/she is human and gets tired, frustrated and even angry. Treat him/her as you expect to be treated by him/her."
65,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,David-Grimes-12,"#909230824November 20, 2019 at 5:35:02 AM","Former Physician (Retired)   ;MD from University of ManchesterGraduated 1966   ;Lives in Ribble Valley, UK1977–present   ;478.7K content views18.5K this month   ;Joined August 2014",England,"The real challenge to being a physician is being terrified of making a mistake. It is not allowed. No excuses, no matter how high the workload. This is what society demands, but this pressure has increased enormously during my working lifetime of almost 50 years. It is a terrible strain, and the only way out is retirement."
66,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Joseph-Shapiro-11,"#898630313November 11, 2019 at 1:01:18 AM",Vice President and Dean at Marshall University Joan C. Edwards School of Medicine   ;Studied Nephrology at University of Colorado DenverGraduated 1986   ;58.2K content views2.4K this month   ;Joined January 2017,America,"This is the topic that concerns all physician leaders. No simple answer has been found, but I can share what my brilliant family medicine chair does with his faculty. Despite the loss of efficiency, he insists his faculty all have variation in their jobs. No one just does outpatient medicine or hosp…
(more)"
67,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Ron-Wiltse-2,"#896175414November 8, 2019 at 11:33:35 AM","Former BS Pharmacy, MBA, LCDR, USN, (Ret.) at Group Health Cooperative   ;Studied at The University of Texas at Austin   ;Lives in Austin, TX   ;455.8K content views6.4K this month   ;Joined June 2017",America,"I wish I knew. When I was pharmacy supervisor at a small hospital in Washington state, we had a busy ER and lots of temporary doctors doing a few shifts. I would say at least a third were burned out. Most were in their mid- to late thirties. Lots of times they would ask me If I knew what they could do that would make as much money, not be a doctor, and not have to deal with patients. I would point out that burned out pharmacists ended up in small hospitals in Washington state, where they didn’t have to deal with patients, at about $30,000/year less than pharmacists who were willing to deal with patients. I suggested that they do a pathology residency where all the patients are dead, become an expert witness, work for a drug company, or go into administration. I never saw any of them again."
68,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Vernon-Huffman-2,"#911518943November 22, 2019 at 10:49:10 AM",Drummer1966–present   ;B.A. from Henry Cogswell CollegeGraduated 2005   ;830.1K content views26.8K this month   ;Active in 2 Spaces   ;Joined January 2017,America,"Stop expecting doctors to be superhuman. Make changes to education and hospitals to reduce competition and increase collaboration. Establish universal, single-payer healthcare - Improved Medicare for All - and get the insurance industry out of our healthcare system."
69,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Linda-Thornton-27,"#900823488November 13, 2019 at 2:52:20 AM","RN at Medicine and Healthcare1990–present   ;BSN in Research & Swimming, Colorado Mesa UniversityGraduated 1990   ;305K content views3.2K this month   ;Active in 1 Space   ;Joined July 2018",America,"Well we healthcare providers need to stand up to corporate greed and insurance companies in general and allow Physicians the autonomy they once had.Currently they are expected to meet productivity quotas that are rediculous,I went to see a neurologist and I asked him why they do not have patients dr…
(more)"
70,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Peter-Winwood,"#896210969November 8, 2019 at 12:31:41 PM","Former Research Psychologist   ;PhD in Psychology, University of South AustraliaGraduated 2006   ;Lives in South Australia1966–present   ;447.2K content views14.4K this month   ;Joined May 2016",Australia,"The first thing to understand is that from a neuro-physiological perspective there is no difference between physician burnout and PSTD affecting police, fireies, ambos or veterans. The same pathology associated with overly frequent activation of the cortisol based stress response mechanism is involve…
(more)"
71,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Saul-Wasserman,"#896706571November 8, 2019 at 11:45:45 PM","fellowship in Psychiatry & Child and Adolescent Psychiatry, Stanford University   ;Lives in Palo Alto, CA   ;169.6K content views7.1K this month   ;Joined December 2018",America,"This is a very good question, and a subject of both great concern and lively current discussion. I think much depends on what the physician identifies as the primary sources of stress. For me, dealing with insurance companies and getting pharmacy authorizations is very irritating and frustrating. Fo…
(more)"
72,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Giles-Elrington,"#898173301November 10, 2019 at 1:53:16 PM",Neurologist at Self-Employment1993–present   ;MD from University of LondonGraduated 1990   ;Lived in London & Colchester   ;1.2M content views53K this month   ;Joined September 2018,England,"It depends upon whom “we “ are.
If “we” are:-
Government: depoliticise medical practice.
HMOs: set realistic targets.
Patients: see your physician as a human being, and yourself as one of many patients.
Physicians: seek support and help, you are not invulnerable."
73,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,L-M-Lalko,"#890940518November 3, 2019 at 8:10:36 AM",5.6M content views118.9K this month   ;Active in 12 Spaces   ;Joined March 2018,,"Not a doctor; responding to A2A. There are so many factors that fit in there; some of which folks do have a good deal of control over, other things which require a major shift in how health care is in the country. Things we can do is go prepared to have an efficient doctor visit. Be honest. Be compl…
(more)"
74,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Melia-Veil,"#897267573November 9, 2019 at 2:39:51 PM",Blogger at Medium (social media)   ;Studied Energy (mind) & Chakras at SpiritualityGraduated 2019   ;40.7K content views2.9K this month   ;Active in 1 Space   ;Joined August 2019,,"I feel like this ove…
Of course there would be kinks to work out, and it's a pipe dream from where we stand today. But the point is that the problem isn't with individual doctors, per se. It's with the system they work in. Some only go into it for the glory and the paycheck. And those who go into it with good intentions get burned out because they don't have enough time with patients, they have to make decisions based off of insurance and financial reasons rather than what might actually solve the problems and heal their patients, they're inundated with drug companies trying to take them to lunch and woo them to push more pills on patients instead of looking for how to help them actually get better, they're too segmented as far as western medicine versus eastern medicine versus homeopathy, etc., so they don't have a well rounded set of tools to heal with, but instead a pad of paper that allows them to write proscription prescriptions mostly, and they see so many people without really getting a chance to look further and try to help them that their compassion just wilts away. It is very sad and I'm sure many of them really do want to help, but we aren't giving them the opportunity to do so.
… (view more)"
75,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,William-Michael-Fenton,"#896816115November 9, 2019 at 2:06:13 AM","Former Dokter at Kaiser Permanente1989–2016   ;Studied Anesthesiology at University of California, San DiegoGraduated 1983   ;Lives in Folsom, CA   ;957.8K content views24.9K this month   ;Joined August 2017",America,"Either hire docs who are way less committed to quality medical care or give the INDIVIDUAL docs way more control over their practice. I suspect both of these methods will be employed in the near future, and in different settings both may work. The advantages of the former approach include much easie…
(more)"
76,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Annette-Poizner,"#895425978November 7, 2019 at 6:38:38 PM","Registered Social Worker/Therapist/Graphologist   ;Ed.D. in Counselling Psychology & Social Work, University of Toronto   ;Lives in Toronto, ON   ;208.4K content views7.5K this month   ;Active in 2 Spaces   ;Joined July 2019",Canada,"Eastern wisdom teaches the core intrinsic pattern of the world with which we must synchronize in order to be healthy. That pattern is called the Tai Ji, referring to yin & Yang, the feminine and masculine polarities which play out in virtually every aspect of life, sound waves, light waves, the alte…
(more)"
77,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Lucas-Jerzy-Portela,"#896809294November 9, 2019 at 1:56:26 AM","Former worked in Brazil's SUS as a psychoanalyst2005–2021   ;Post-Graduation in Mental Health, Federal University of Bahia (UFBA)   ;Lives in Salvador, Brazil   ;5.7M content views197.8K this month   ;Active in 2 Spaces   ;Knows Portuguese   ;Joined September 2015   ;PT   ;Active in Portuguese2,394 answers",Brazil,Reducing their work burden and work hours.
78,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Richard-Wallis-13,"#911152046November 22, 2019 at 1:24:29 AM","Former PT, 28 years, all in Direct Patient Care · 1993–2021   ;certificate from Cleveland State UniversityGraduated 1995   ;Lives in Cleveland, Ohio   ;669.3K content views36.1K this month   ;Joined October 2018",America,"It could start at the beginning. In the U.S to become a physician you have to get a 4 year Bachelors degree, spend about 4 years in medical school and then usually 1 year as an intern and 2 years as a resident. During all this time the person is sleep deprived, socially isolated and financially stra…
(more)"
79,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Kenneth-Mason-12,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,,"Dear Mae,
I can only speak for myself here.
I try my best to treat my doctors as better educated versions of myself.
I joke and kid, I try and be upbeat and smile as much as I can.
Heck, I even take them homemade cookies. ( No ‘all clear’ no cookies.)
I do as much to present myself, as I present my disease.
I have often noticed the waiting room as a quiet still place full of people whispering to each other or just sitting in silence. THIS IS NOT FOR ME.
This is just my personal approach. kapm
mason"
80,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Catherine-Martell-2,"#898177489November 10, 2019 at 2:00:29 PM","Former Peer Specialist at Community Counseling Center2008–2015   ;BSN in Bachelor of Science in Nursing (BSN), Pennsylvania State University   ;379.5K content views7.2K this month   ;Joined September 2018",America,"Let them be human. when they’re up all night on call, they should have limited hours that allow for sleep the next day, for example. they know what a healthy lifestyle is but aren’t allowed to have one."
81,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Marty-Shoemaker-1,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada,"Hello Mae. Good question and I am sure it is a problem everywhere in medical systems particularly where there is national or socialized medicine. I would imagine that the medical associations have programs to identify and treat these physicians but true to form Drs are often unaware of the signs and…
(more)"
82,How could we begin to help physicians dealing with physician burnout syndrome?,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,Matt-Freitas-4,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America,"In my opinion term physician burnout is a misnomer. Physicians who spend a lot of time and money to become qualifi ed to practice are expected to continue their profession for lifetime but medicine is going through rapid changes on a professional level. Doctors were one time viewed as leaders in the…
(more)"
